Identifier A,Identifier B,Species A,Species B,Positive interaction
Q5MP56,A6MW92,Zea mays (Maize),Zea mays (Maize),1
A6MW92,Q5MP56,Zea mays (Maize),Zea mays (Maize),1
A6YSL1,B6TTV8,Zea mays (Maize),Zea mays (Maize),1
B6TTV8,A6YSL1,Zea mays (Maize),Zea mays (Maize),1
B4FX20,B4FX20,Zea mays (Maize),Zea mays (Maize),1
B8Y6I0,B8Y6I0,Zea mays (Maize),Zea mays (Maize),1
B4FZ94,B4FZ94,Zea mays (Maize),Zea mays (Maize),1
O49973,O49974,Zea mays (Maize),Zea mays (Maize),1
A6YRS1,P13526,Zea mays (Maize),Zea mays (Maize),1
Q32SG6,Q9S7B2,Zea mays (Maize),Zea mays (Maize),1
Q32SG5,Q9S7B2,Zea mays (Maize),Zea mays (Maize),1
Q9S7B2,Q32SG3,Zea mays (Maize),Zea mays (Maize),1
Q9S7B2,Q32SG5,Zea mays (Maize),Zea mays (Maize),1
Q9S7B2,Q32SG4,Zea mays (Maize),Zea mays (Maize),1
Q32SG4,Q9S7B2,Zea mays (Maize),Zea mays (Maize),1
Q84N49,B6TTV8,Zea mays (Maize),Zea mays (Maize),1
Q84N48,A7UDM2,Zea mays (Maize),Zea mays (Maize),1
Q84N48,B6TTV8,Zea mays (Maize),Zea mays (Maize),1
A7UDM2,Q84N48,Zea mays (Maize),Zea mays (Maize),1
B6TTV8,Q84N49,Zea mays (Maize),Zea mays (Maize),1
B6TTV8,Q84N48,Zea mays (Maize),Zea mays (Maize),1
P27787,Q9SLP6,Zea mays (Maize),Zea mays (Maize),1
A6YRS1,A6YRS1,Zea mays (Maize),Zea mays (Maize),1
B6TWS6,Q940E8,Zea mays (Maize),Zea mays (Maize),1
Q5EUD7,Q5EUD7,Zea mays (Maize),Zea mays (Maize),1
Q5EUD7,A0A1D6F227,Zea mays (Maize),Zea mays (Maize),1
B7VCC0,B4FE45,Zea mays (Maize),Zea mays (Maize),1
B7VCC0,B6SH45,Zea mays (Maize),Zea mays (Maize),1
B7VCC0,B4FW06,Zea mays (Maize),Zea mays (Maize),1
B7VCC0,B6SP90,Zea mays (Maize),Zea mays (Maize),1
Q5EUD7,B6T3V7,Zea mays (Maize),Zea mays (Maize),1
Q84RL8,B6SXU0,Zea mays (Maize),Zea mays (Maize),1
B7VCC0,A0A1D6LEL5,Zea mays (Maize),Zea mays (Maize),1
Q84RL8,B6TLN5,Zea mays (Maize),Zea mays (Maize),1
B7VCC0,B6TLX0,Zea mays (Maize),Zea mays (Maize),1
Q41746,B6TUA7,Zea mays (Maize),Zea mays (Maize),1
Q84TL7,C4JC17,Zea mays (Maize),Zea mays (Maize),1
Q84RL8,K7TSE6,Zea mays (Maize),Zea mays (Maize),1
Q84RL8,A0A1D6N9M6,Zea mays (Maize),Zea mays (Maize),1
Q41746,C0HFU7,Zea mays (Maize),Zea mays (Maize),1
Q84RL8,A0A1D6EZQ5,Zea mays (Maize),Zea mays (Maize),1
B7VCC0,A0A1D6F2F6,Zea mays (Maize),Zea mays (Maize),1
B7VCC0,A0A1D6G113,Zea mays (Maize),Zea mays (Maize),1
Q41746,A0A1D6G8L0,Zea mays (Maize),Zea mays (Maize),1
B7VCC0,A0A1D6GIG8,Zea mays (Maize),Zea mays (Maize),1
Q84RL8,A0A1D6GJ73,Zea mays (Maize),Zea mays (Maize),1
Q5EUD7,A0A1D6GPI2,Zea mays (Maize),Zea mays (Maize),1
Q41746,A0A1D6HZ94,Zea mays (Maize),Zea mays (Maize),1
B7VCC0,A0A1D6I6V7,Zea mays (Maize),Zea mays (Maize),1
Q84RL8,A0A1D6IAB6,Zea mays (Maize),Zea mays (Maize),1
B7VCC0,A0A1D6IP00,Zea mays (Maize),Zea mays (Maize),1
B7VCC0,A0A1D6ITP3,Zea mays (Maize),Zea mays (Maize),1
B7VCC0,A0A1D6IZQ8,Zea mays (Maize),Zea mays (Maize),1
B7VCC0,A0A1D6J4U6,Zea mays (Maize),Zea mays (Maize),1
B7VCC0,A0A1D6JDL1,Zea mays (Maize),Zea mays (Maize),1
Q41746,A0A1D6JYZ2,Zea mays (Maize),Zea mays (Maize),1
O24561,A0A1D6K627,Zea mays (Maize),Zea mays (Maize),1
Q84RL8,A0A1D6K9B7,Zea mays (Maize),Zea mays (Maize),1
B7VCC0,A0A1D6KGK5,Zea mays (Maize),Zea mays (Maize),1
Q5EUD7,A0A1D6KZC9,Zea mays (Maize),Zea mays (Maize),1
B7VCC0,A0A1D6KZL1,Zea mays (Maize),Zea mays (Maize),1
Q84RL8,A0A1D6L978,Zea mays (Maize),Zea mays (Maize),1
Q84RL8,A0A1D6LED5,Zea mays (Maize),Zea mays (Maize),1
Q84RL8,A0A1D6LII0,Zea mays (Maize),Zea mays (Maize),1
B7VCC0,A0A1D6LL87,Zea mays (Maize),Zea mays (Maize),1
O24561,A0A1D6LTW9,Zea mays (Maize),Zea mays (Maize),1
Q84TL7,A0A1D6ML85,Zea mays (Maize),Zea mays (Maize),1
Q84RL8,A0A1D6MMD1,Zea mays (Maize),Zea mays (Maize),1
Q41746,A0A1D6NMH3,Zea mays (Maize),Zea mays (Maize),1
Q5EUD7,A0A1D6NQS5,Zea mays (Maize),Zea mays (Maize),1
B7VCC0,A0A1D6P0Y1,Zea mays (Maize),Zea mays (Maize),1
B7VCC0,A0A1D6P8A0,Zea mays (Maize),Zea mays (Maize),1
Q84RL8,A0A1D6PIL8,Zea mays (Maize),Zea mays (Maize),1
Q41746,A0A1D6PIL8,Zea mays (Maize),Zea mays (Maize),1
B7VCC0,A0A1R3LJZ7,Zea mays (Maize),Zea mays (Maize),1
B7VCC0,A0A1R3MB28,Zea mays (Maize),Zea mays (Maize),1
Q84RL8,B6SY69,Zea mays (Maize),Zea mays (Maize),1
B7VCC0,B6TGT9,Zea mays (Maize),Zea mays (Maize),1
K7TN71,A0A1D6KTF9,Zea mays (Maize),Zea mays (Maize),1
K7TN71,A0A1D6LHH6,Zea mays (Maize),Zea mays (Maize),1
K7TN71,A0A1D6HB09,Zea mays (Maize),Zea mays (Maize),1
K7TN71,A0A1D6M1N6,Zea mays (Maize),Zea mays (Maize),1
K7TN71,A0A1D6QTH2,Zea mays (Maize),Zea mays (Maize),1
K7TN71,B4FH14,Zea mays (Maize),Zea mays (Maize),1
K7U163,B4FJ92,Zea mays (Maize),Zea mays (Maize),1
K7U163,A0A096PXB1,Zea mays (Maize),Zea mays (Maize),1
K7U163,C0PF64,Zea mays (Maize),Zea mays (Maize),1
K7U163,A0A1D6EJX1,Zea mays (Maize),Zea mays (Maize),1
K7U163,C0HE02,Zea mays (Maize),Zea mays (Maize),1
K7U163,A0A1D6E1H1,Zea mays (Maize),Zea mays (Maize),1
K7U163,A0A1D6EZN1,Zea mays (Maize),Zea mays (Maize),1
K7U163,A0A1D6I8W8,Zea mays (Maize),Zea mays (Maize),1
K7U163,A0A1D6J038,Zea mays (Maize),Zea mays (Maize),1
K7U163,A0A1D6JH51,Zea mays (Maize),Zea mays (Maize),1
K7U163,A0A1D6JZ25,Zea mays (Maize),Zea mays (Maize),1
