Identifier A,Identifier B,Interaction
Q5MP56,A6MW92,1
A6MW92,Q5MP56,1
A6YSL1,B6TTV8,1
B6TTV8,A6YSL1,1
B4FX20,B4FX20,1
B8Y6I0,B8Y6I0,1
B4FZ94,B4FZ94,1
O49973,O49974,1
A6YRS1,P13526,1
Q32SG6,Q9S7B2,1
Q32SG5,Q9S7B2,1
Q9S7B2,Q32SG3,1
Q9S7B2,Q32SG5,1
Q9S7B2,Q32SG4,1
Q32SG4,Q9S7B2,1
Q84N49,B6TTV8,1
Q84N48,A7UDM2,1
Q84N48,B6TTV8,1
A7UDM2,Q84N48,1
B6TTV8,Q84N49,1
B6TTV8,Q84N48,1
P27787,Q9SLP6,1
A6YRS1,A6YRS1,1
B6TWS6,Q940E8,1
Q5EUD7,Q5EUD7,1
Q5EUD7,A0A1D6F227,1
B7VCC0,B4FE45,1
B7VCC0,B6SH45,1
B7VCC0,B4FW06,1
B7VCC0,B6SP90,1
Q5EUD7,B6T3V7,1
Q84RL8,B6SXU0,1
B7VCC0,A0A1D6LEL5,1
Q84RL8,B6TLN5,1
B7VCC0,B6TLX0,1
Q41746,B6TUA7,1
Q84TL7,C4JC17,1
Q84RL8,K7TSE6,1
Q84RL8,A0A1D6N9M6,1
Q41746,C0HFU7,1
Q84RL8,A0A1D6EZQ5,1
B7VCC0,A0A1D6F2F6,1
B7VCC0,A0A1D6G113,1
Q41746,A0A1D6G8L0,1
B7VCC0,A0A1D6GIG8,1
Q84RL8,A0A1D6GJ73,1
Q5EUD7,A0A1D6GPI2,1
Q41746,A0A1D6HZ94,1
B7VCC0,A0A1D6I6V7,1
Q84RL8,A0A1D6IAB6,1
B7VCC0,A0A1D6IP00,1
B7VCC0,A0A1D6ITP3,1
B7VCC0,A0A1D6IZQ8,1
B7VCC0,A0A1D6J4U6,1
B7VCC0,A0A1D6JDL1,1
Q41746,A0A1D6JYZ2,1
O24561,A0A1D6K627,1
Q84RL8,A0A1D6K9B7,1
B7VCC0,A0A1D6KGK5,1
Q5EUD7,A0A1D6KZC9,1
B7VCC0,A0A1D6KZL1,1
Q84RL8,A0A1D6L978,1
Q84RL8,A0A1D6LED5,1
Q84RL8,A0A1D6LII0,1
B7VCC0,A0A1D6LL87,1
O24561,A0A1D6LTW9,1
Q84TL7,A0A1D6ML85,1
Q84RL8,A0A1D6MMD1,1
Q41746,A0A1D6NMH3,1
Q5EUD7,A0A1D6NQS5,1
B7VCC0,A0A1D6P0Y1,1
B7VCC0,A0A1D6P8A0,1
